"protein_id","adj_r2"
"A0A024RBG1",0.211671148260204
"A0A075B6H7",0.261884232320119
"A0A075B6H8",0.123213341153415
"A0A075B6H9",0.21848088643218
"A0A075B6I0",0.202134677051226
"A0A075B6I1",0.144444212137687
"A0A075B6I3",0.208370825536665
"A0A075B6I4",0.176831045954884
"A0A075B6I6",0.215231314622676
"A0A075B6I7",0.131157809503887
"A0A075B6I9",0.205576429609041
"A0A075B6J1",0.236083119092313
"A0A075B6J2",0.232379211075788
"A0A075B6J6",0.273409811813586
"A0A075B6J9",0.222632250154662
"A0A075B6K0",0.225255594205018
"A0A075B6K2",0.355184995860947
"A0A075B6K4",0.21101299951021
"A0A075B6K5",0.302123474903718
"A0A075B6K6",0.180204702144945
"A0A075B6L2",0.183237198884961
"A0A075B6N1",0.392871875634517
"A0A075B6N2",0.260572262927866
"A0A075B6N3",0.375480635828255
"A0A075B6N4",0.239198245026847
"A0A075B6P5",0.218075916585236
"A0A075B6Q5",0.256507199249754
"A0A075B6R0",0.36476678355248
"A0A075B6R2",0.269743330967155
"A0A075B6R9",0.122016756519657
"A0A075B6S2",0.203773513212375
"A0A075B6S4",0.22795466553251
"A0A075B6S5",0.28689056302495
"A0A075B6S6",0.208447650413274
"A0A075B6S9",0.357079018070506
"A0A075B6T6",0.223680895431072
"A0A075B6T7",0.195634853975673
"A0A075B6T8",0.295133774223061
"A0A075B6U4",0.378863125111602
"A0A075B6V5",0.282351450113638
"A0A075B6W5",0.256787679919622
"A0A075B6X5",0.295478621883611
"A0A075B767",0.132837267639549
"A0A087WSX0",0.153010613834663
"A0A087WSY4",0.223384856402482
"A0A087WSY6",0.266722962799652
"A0A087WSZ0",0.182921541291496
"A0A087WSZ9",0.2796227062542
"A0A087WT01",0.221573067153685
"A0A087WT02",0.257558583370506
"A0A087WT03",0.181212477016024
"A0A087WTH1",0.0350663736238911
"A0A087WV53",0.392553453538151
"A0A087WVF3",0.233272465163075
"A0A087WW87",0.281877893645459
"A0A087WXS9",0.289801150106463
"A0A087X0K7",0.197206855957853
"A0A087X179",0.280641538121074
"A0A087X1C5",0.221744701453776
"A0A087X1G2",0.286042307833879
"A0A096LNP1",-0.00762812126466073
"A0A096LP55",0.173265450292817
"A0A0A0MRZ7",0.118831395552182
"A0A0A0MRZ8",0.292396228655183
"A0A0A0MRZ9",0.145951816064056
"A0A0A0MS00",0.417199474825566
"A0A0A0MS01",0.225334052399435
"A0A0A0MS02",0.290047547441728
"A0A0A0MS03",0.29532906329784
"A0A0A0MS04",0.224808812891737
"A0A0A0MS05",0.219519093868492
"A0A0A0MS15",0.221355485170452
