protein_id,adj_r2
A0A024RBG1,0.391137820626855
A0A075B6H5,0.215078946161544
A0A075B6H7,0.275221611442227
A0A075B6H8,0.197089478906696
A0A075B6H9,0.122446637242928
A0A075B6I0,0.145161937253686
A0A075B6I1,0.0790738025489988
A0A075B6I3,0.0913990876975903
A0A075B6I4,0.188531374958339
A0A075B6I6,0.120659111345984
A0A075B6I7,0.036289435771917
A0A075B6I9,0.14356094756017
A0A075B6J1,0.103931209190881
A0A075B6J2,0.155983172428579
A0A075B6J6,0.210404517711112
A0A075B6J9,0.196844549260778
A0A075B6K0,0.144138983473173
A0A075B6K2,0.200546960287463
A0A075B6K4,0.202553445547592
A0A075B6K5,0.231710683001133
A0A075B6K6,0.202292927406697
A0A075B6L2,0.117269934201957
A0A075B6L6,0.169890902209392
A0A075B6N1,0.267943207020252
A0A075B6N2,0.158195161861035
A0A075B6N3,0.304760923506733
A0A075B6N4,0.215178766444687
A0A075B6P5,0.183074677206436
A0A075B6Q5,0.135809618683935
A0A075B6R0,0.238643095387944
A0A075B6R2,0.0993169701095887
A0A075B6R9,0.185948574581478
A0A075B6S0,0.0282321629790532
A0A075B6S2,0.201633165611129
A0A075B6S4,0.276373756420911
A0A075B6S5,0.276716163314335
A0A075B6S6,0.207334969649744
A0A075B6S9,0.256633410748108
A0A075B6T6,0.257069918078487
A0A075B6T7,0.246803744651298
A0A075B6T8,0.295068169295529
A0A075B6U4,0.330412210519643
A0A075B6U6,0.308481149317226
A0A075B6V2,0.0271668847250828
A0A075B6V5,0.221603549865868
A0A075B6W5,0.217734620019396
A0A075B6X5,0.350279209410379
A0A075B6Y3,0.0668069688909055
A0A075B6Y9,0.0733105004085924
A0A075B700,0.153801168846195
A0A075B706,0.0898994744190762
A0A075B759,0.183235434503725
A0A075B767,0.174295415781813
A0A075B7B6,0.106015156937142
A0A075B7B8,0.0967017593895784
A0A075B7D0,0.195762105351967
A0A075B7D4,0.237882531011393
A0A075B7D8,0.0691146739262141
A0A075B7E8,0.0706342719209602
A0A075B7F0,0.134186292986148
A0A075B7F1,0.142988723776742
A0A087WSX0,0.109324037512681
A0A087WSY4,0.110111492280326
A0A087WSY6,0.290517346110283
A0A087WSZ0,0.22379039272244
A0A087WSZ9,0.193016072866128
A0A087WT01,0.175917499704218
A0A087WT02,0.264071531401474
A0A087WT03,0.236393809320303
A0A087WTH1,0.0196960192778477
A0A087WV53,0.349610918544908
A0A087WV62,0.216887820001524
A0A087WVF3,0.349364552173997
A0A087WW87,0.216108461580702
A0A087WWA1,0.014365370639802
A0A087WXM9,0.000535241110581564
A0A087WXS9,0.358085076755296
A0A087WYE8,0.176599316106134
A0A087WZ39,0.219620889874241
A0A087X0K7,0.205180034214602
A0A087X0M5,0.205285509662756
A0A087X179,0.331820229171974
A0A087X1C1,0.00981349292689981
A0A087X1C5,0.249985004241911
A0A087X1G2,0.343680254353523
A0A096LNP1,0.0685508766066704
A0A096LP01,0.00112807893958455
A0A096LP49,0.000635946640687113
A0A096LP55,0.12185067449451
A0A096LPI5,0.000554570343187399
A0A096LPK9,0.199186991491642
A0A0A0MRZ7,0.127255460607352
A0A0A0MRZ8,0.308441686000502
A0A0A0MRZ9,0.125234150776955
A0A0A0MS00,0.273546721832456
A0A0A0MS01,0.248321885659333
A0A0A0MS02,0.209469514774819
A0A0A0MS03,0.154984297151098
A0A0A0MS04,0.238524556624913
A0A0A0MS05,0.113721925884677
A0A0A0MS06,0.164281909869884
A0A0A0MS14,0.204555691082085
A0A0A0MS15,0.0727281870524335
A0A0A0MT36,0.262777910661744
A0A0A0MT70,-0.00188219391998379
A0A0A0MT76,0.0254659116553551
A0A0A0MT82,0.00278902394916447
A0A0A0MT86,0.0500619543245688
A0A0A0MT87,-0.000902551498666249
A0A0A0MT93,0.000969119636081039
A0A0A0MT94,0.0114168324021411
A0A0A0MT99,0.00196089621111017
A0A0A0MTA7,0.0622697688732405
A0A0A6YYC5,0.280197871916235
A0A0A6YYD4,0.281417821596329
A0A0A6YYG2,0.251418448475888
A0A0A6YYG3,0.269005862595814
A0A0A6YYJ7,0.294638468221652
A0A0A6YYK1,0.290851649750612
A0A0A6YYK4,0.214962252245462
A0A0A6YYK6,0.321869864720115
A0A0A6YYK7,0.216114732574663
A0A0A6YYL3,0.477052380689132
A0A0B4J1T7,0.121912286742402
A0A0B4J1U3,0.158483535102152
A0A0B4J1U4,0.153828358835725
A0A0B4J1U6,0.177864939258518
A0A0B4J1U7,0.114953086728515
A0A0B4J1V0,0.0930411977780286
A0A0B4J1V1,0.176343652502525
A0A0B4J1V2,0.166529805926386
A0A0B4J1V6,0.110063867864941
A0A0B4J1V7,0.079986945177712
A0A0B4J1W7,0.00992862917853066
A0A0B4J1X5,0.0784002922879825
A0A0B4J1X8,0.148567289567079
A0A0B4J1Y8,0.0661254075490326
A0A0B4J1Y9,0.108476030480196
A0A0B4J1Z2,0.256017422530723
A0A0B4J200,0.122549709919502
A0A0B4J234,0.222538911275426
A0A0B4J235,0.276355367456242
A0A0B4J237,0.296062776841388
A0A0B4J238,0.242946394142231
A0A0B4J240,0.276123377452587
A0A0B4J241,0.271786797723162
A0A0B4J244,0.24362607066969
A0A0B4J245,0.250306757660139
A0A0B4J248,0.243489240501274
A0A0B4J249,0.31129574784162
A0A0B4J262,0.301869266033476
A0A0B4J263,0.185897503253523
A0A0B4J264,0.292782326226596
A0A0B4J265,0.201564405241244
A0A0B4J266,0.205747337069074
A0A0B4J268,0.230575709793725
A0A0B4J271,0.236410932318893
A0A0B4J272,0.202765117868516
A0A0B4J273,0.232136848837811
A0A0B4J274,0.204338594594766
A0A0B4J275,0.298205154736546
A0A0B4J276,0.231762507567185
A0A0B4J277,0.165046512510605
A0A0B4J279,0.229216723180129
A0A0B4J280,0.204203431402188
A0A0B4J2A2,0.178093081735119
A0A0B4J2B6,0.14708104482721
A0A0B4J2B8,0.200143364816765
A0A0B4J2D5,0.361047925828856
A0A0B4J2D9,0.257383520210791
A0A0B4J2E0,0.256835849522621
A0A0B4J2F0,0.0246778993110767
A0A0B4J2F2,0.487646210758522
A0A0B4J2H0,0.141433041156739
A0A0C4DH24,0.264748058883773
A0A0C4DH25,0.303896536434749
A0A0C4DH26,0.215082716130112
A0A0C4DH27,0.237310180538712
A0A0C4DH28,0.20910648295922
A0A0C4DH29,0.168798633586095
A0A0C4DH30,0.0986546993372095
A0A0C4DH31,0.137316939607848
A0A0C4DH32,0.179654154085678
A0A0C4DH33,0.161787538969181
A0A0C4DH34,0.0647770946421622
A0A0C4DH35,0.0985533518777221
A0A0C4DH36,0.117656196062748
A0A0C4DH38,0.193288698770049
A0A0C4DH39,0.163100229008187
A0A0C4DH41,0.0851564146052716
A0A0C4DH42,0.0584000256672868
A0A0C4DH43,0.152998301153919
A0A0C4DH55,0.31556647848987
A0A0C4DH59,0.145763108018258
A0A0C4DH62,0.00564747976619662
A0A0C4DH63,0.00022942901877776
A0A0C4DH67,0.228952553820008
A0A0C4DH68,0.20708158188602
