domain,adj.r.squared,source
A0A2R8Y422_PF00240_2,0.055671913944316365,Domainome 1.0
A0PJY2_PF00096_289,0.010133551384608142,Domainome 1.0
A1X283_PF00018_155,0.3455344999526577,Domainome 1.0
A1X283_PF00018_222,0.16530899981530622,Domainome 1.0
A6NK59_PF07525_532,0.06276149258423336,Domainome 1.0
O00308_PF00397_440,0.3449819858988654,Domainome 1.0
O00330_PF02817_181,0.07958129194281693,Domainome 1.0
O14529_PF02376_1036,0.17234140149689714,Domainome 1.0
O14529_PF02376_895,0.11020403152553426,Domainome 1.0
O14640_PF00595_246,0.2114838970218017,Domainome 1.0
O14640_PF00778_4,0.0850632637595764,Domainome 1.0
O14776_PF01846_645,0.1997902152552783,Domainome 1.0
O14776_PF01846_727,0.18809973945730296,Domainome 1.0
O14776_PF01846_793,0.2542989909781175,Domainome 1.0
O14776_PF01846_897,0.10838195495741465,Domainome 1.0
O14776_PF01846_955,0.036350979805901074,Domainome 1.0
O14813_PF00046_92,0.06284958628566606,Domainome 1.0
O14901_PF00096_395,0.02560843837286164,Domainome 1.0
O14936_PF00595_488,0.2852086649606649,Domainome 1.0
O15151_PF00641_299,0.14490031565346984,Domainome 1.0
O15259_PF00018_152,0.20753717253940862,Domainome 1.0
O15265_PF08313_334,0.38684920368948583,Domainome 1.0
O15266_PF00046_119,0.07647252805192484,Domainome 1.0
O15344_PF00643_172,0.16286561485156337,Domainome 1.0
O15350_PF07647_487,0.5274463375970642,Domainome 1.0
O15405_PF00505_256,0.06015233830639288,Domainome 1.0
O15541_PF00642_198,0.050891907120638735,Domainome 1.0
O43167_PF00096_351,0.12231802455548935,Domainome 1.0
O43167_PF00096_435,0.06006079221539462,Domainome 1.0
O43186_PF00046_41,0.13840044972055177,Domainome 1.0
O43295_PF00018_745,0.3211280308187946,Domainome 1.0
O43353_PF00619_438,0.10066243536559638,Domainome 1.0
O43374_PF00779_682,0.16150894117825887,Domainome 1.0
O43395_PF01480_10,0.2446570898328303,Domainome 1.0
O43586_PF00018_361,0.33230527632754503,Domainome 1.0
O60281_PF00096_808,0.11152343701084855,Domainome 1.0
O60293_PF10650_1186,0.09119234929188536,Domainome 1.0
O60341_PF04433_186,0.284371993841516,Domainome 1.0
O60481_PF00096_389,0.02172887588268857,Domainome 1.0
O60885_PF17035_607,0.06142083590059655,Domainome 1.0
O75112_PF00595_1,0.3105180381149655,Domainome 1.0
O75360_PF00046_71,0.1360684486458137,Domainome 1.0
